;StockCode;recency;Quantity;revenue;recency_norm;quantity_norm;revenue_norm;recency_log;recency_lognorm;quantity_log;quantity_lognorm;revenue_log;revenue_lognorm;cluster;recency_centroid;quantity_centroid;revenue_centroid;recency_min;recency_mean;recency_max;quantity_min;quantity_mean;quantity_max;revenue_min;revenue_mean;revenue_max;count_rfm
0;10002;236;823;699.55;0.6300268096514745;0.015159898196304084;0.005331799728166909;5.4638318050256105;0.9222815475675679;6.71295620067707;0.6158189282806336;6.550437271179295;0.5863330370810543;3;0.7566952116518413;0.528982331957899;0.558007900233429;20;119.47921225382932;373;23;626.4113785557987;6625;22.990000000000002;1111.7504814004376;47027.55;457
1;10133;94;2363;1134.79;0.24932975871313673;0.043561653941204675;0.008651085860484738;4.543294782270004;0.7668971323373295;7.767687277186908;0.7125756092038692;7.034202890770384;0.6245711257697181;3;0.7566952116518413;0.528982331957899;0.558007900233429;20;119.47921225382932;373;23;626.4113785557987;6625;22.990000000000002;1111.7504814004376;47027.55;457
2;15044B;73;307;865.6500000000001;0.19302949061662197;0.005643465751908819;0.0065985340048372336;4.290459441148391;0.7242191404059285;5.726847747587197;0.5253574039392368;6.763480669825086;0.6031725396046895;3;0.7566952116518413;0.528982331957899;0.558007900233429;20;119.47921225382932;373;23;626.4113785557987;6625;22.990000000000002;1111.7504814004376;47027.55;457
3;15058B;23;115;866.25;0.058981233243967826;0.00210246763306407;0.006603109805957053;3.1354942159291497;0.5292638135742795;4.74493212836325;0.43528051289211256;6.764173550504113;0.6032273066897869;3;0.7566952116518413;0.528982331957899;0.558007900233429;20;119.47921225382932;373;23;626.4113785557987;6625;22.990000000000002;1111.7504814004376;47027.55;457
4;15058C;75;193;894.35;0.19839142091152814;0.003540998118844749;0.00681740982506865;4.31748811353631;0.7287815147044379;5.262690188904886;0.48277750295429267;6.796097197439255;0.6057506345025474;3;0.7566952116518413;0.528982331957899;0.558007900233429;20;119.47921225382932;373;23;626.4113785557987;6625;22.990000000000002;1111.7504814004376;47027.55;457
5;15060B;22;411;1482.87;0.05630026809651475;0.007561506399616392;0.011305660616796637;3.091042453358316;0.5217604639400126;6.018593214496234;0.5521209303785327;7.301734678147208;0.6457175317945999;3;0.7566952116518413;0.528982331957899;0.558007900233429;20;119.47921225382932;373;23;626.4113785557987;6625;22.990000000000002;1111.7504814004376;47027.55;457
6;16015;23;662;289.98;0.058981233243967826;0.012190623732064476;0.0022082816204254;3.1354942159291497;0.5292638135742795;6.495265555937008;0.5958488859426508;5.669811955085048;0.5167261291599058;3;0.7566952116518413;0.528982331957899;0.558007900233429;20;119.47921225382932;373;23;626.4113785557987;6625;22.990000000000002;1111.7504814004376;47027.55;457
7;16033;296;840;100.79999999999998;0.7908847184986595;0.015473424071410129;0.0007655315273459788;5.69035945432406;0.9605188649699176;6.733401891837359;0.6176945317021212;4.613138355637268;0.4332039085341267;3;0.7566952116518413;0.528982331957899;0.558007900233429;20;119.47921225382932;373;23;626.4113785557987;6625;22.990000000000002;1111.7504814004376;47027.55;457
8;16049;199;504;82.08;0.5308310991957105;0.009276677363431818;0.0006227665324075776;5.293304824724492;0.8934970071742344;6.222576268071369;0.5708334948113799;4.407694381422459;0.41696508421829864;3;0.7566952116518413;0.528982331957899;0.558007900233429;20;119.47921225382932;373;23;626.4113785557987;6625;22.990000000000002;1111.7504814004376;47027.55;457
9;16052;184;467;105.28999999999999;0.4906166219839142;0.008594297517612776;0.0007997737723926361;5.214935757608986;0.8802684988526139;6.1463292576688975;0.5638389083986283;4.656718447868668;0.4366485920013251;3;0.7566952116518413;0.528982331957899;0.558007900233429;20;119.47921225382932;373;23;626.4113785557987;6625;22.990000000000002;1111.7504814004376;47027.55;457
